project_id,service_line,team,project_manager,overbudget_yes,budget,building_region,nda,total_hours,emp_count,month_duration
4bc834d6-5746-e711-80ff-e0071b66cf61,GPR,SB,73,1,10025.0,SF,False,75.0,74.0,37.52027762377051
ceba5800-d47b-e711-8103-e0071b66cf61,GPR,SB,73,1,33800.0,SF,False,233.25,179.0,35.28614550606789
22ad2d41-e3c3-e711-8113-e0071b6ad191,GPR,SB,73,0,21200.0,SF,True,129.15,81.0,17.938766709788702
443cca89-255a-e811-a94f-000d3a378ca2,LEED,SB,27,1,53237.43,SF,False,385.0,185.0,22.14419187252305
4399e0bb-1875-e611-80ea-5065f38b4491,LEED,SB,89,0,47254.0,SF,False,287.25,167.0,33.61054641779092
ee8de68f-fbef-e611-80f9-5065f38b4491,LEED,SB,55,1,30850.0,SF,False,268.0,113.0,16.098893201092427
30912742-66ac-e611-80f1-5065f38b5171,LEED,SB,58,1,36660.5,SF,True,278.5,133.0,20.76428674100084
320c266a-70c1-e611-80f6-5065f38b5171,LEED,SB,66,1,39850.0,SF,False,302.5,173.0,15.967473664756977
9a9380cd-0801-e511-925d-6c3be5a6aa7c,LEED,SB,57,0,29125.0,SF,True,205.0,112.0,10.710692211339042
2f671c0d-c2ed-e311-aa44-6c3be5a6aa7c,LEED,SB,55,1,34500.0,SF,True,328.0,150.0,54.6048173473788
a3af0198-4e9f-e311-aca1-6c3be5a6aa7c,LEED,SB,58,0,22320.0,SF,False,88.58,55.0,11.992032690609664
8299470e-2039-e411-b376-6c3be5a6aa7c,LEED,SB,43,1,36900.0,SF,False,292.0,151.0,36.206082260416025
bdd9a97a-5556-e411-b300-6c3be5a841e0,LEED,SB,58,0,43500.0,SF,False,264.0,147.0,18.004476477956427
110ff702-0c75-e411-bc06-6c3be5a841e0,LEED,SB,50,0,51000.0,SF,False,388.25,239.0,16.65742623051808
3f111aef-0c5e-e411-8a09-6c3be5a8b8b0,LEED,SB,37,0,22750.0,SF,False,139.5,85.0,20.501447668329945
ae2283ca-edc1-e411-8a8d-6c3be5a8b8b0,LEED,SB,24,0,59750.0,SF,False,397.5,148.0,8.049446600546213
104c9a2f-73b8-e411-8d3b-6c3be5a8b8b0,LEED,SB,50,0,45500.0,SF,False,286.83,192.0,14.78469783773794
83c26826-3395-e411-98dc-6c3be5a8b8b0,LEED,SB,58,0,29250.0,SF,False,171.25,109.0,20.60001232058153
0eee5367-abea-e411-a607-6c3be5a8b8b0,LEED,SB,58,1,39500.0,SF,False,426.75,200.0,35.05616131748085
ad443fd0-761e-e411-b762-6c3be5a8b8b0,LEED,SB,37,1,53632.5,SF,False,361.75,188.0,30.587897082075607
ef5dfdd5-84d1-e311-8efd-6c3be5a8ca30,LEED,SB,58,0,37000.0,SF,False,262.0,158.0,28.28805519620526
